School,Area,Date,Staff Count,Student Count,DateTime
Berkeley County School District,Berkeley County,8/17/2021,34,125,08/17/2021 15:39:12
Berkeley County School District,Berkeley County,8/18/2021,48,144,08/18/2021 15:33:38
Berkeley County School District,Berkeley County,8/19/2021,51,169,08/19/2021 15:51:14
Berkeley County School District,Berkeley County,8/20/2021,54,198,08/20/2021 16:13:15
Berkeley County School District,Berkeley County,8/23/2021,63,252,08/23/2021 16:36:30
Berkeley County School District,Berkeley County,8/24/2021,70,470,08/24/2021 15:50:21
Mount Holly Elementary,Goose Creek,8/17/2021,1,0,08/17/2021 15:39:12
Mount Holly Elementary,Goose Creek,8/18/2021,1,0,08/18/2021 15:33:38
Mount Holly Elementary,Goose Creek,8/19/2021,1,0,08/19/2021 15:51:14
Mount Holly Elementary,Goose Creek,8/20/2021,1,0,08/20/2021 16:13:15
Mount Holly Elementary,Goose Creek,8/23/2021,0,1,08/23/2021 16:36:30
Berkeley County School District,Berkeley County,8/24/2021,71,517,2021-08-24 08:59:02
Mount Holly Elementary,Goose Creek,8/24/2021,1,7,2021-08-24 08:59:02
